iter	Passed	Remaining
708	18665	7660
709	18691	7634
710	18719	7608
711	18746	7582
712	18771	7555
713	18796	7529
714	18822	7502
715	18847	7475
716	18872	7448
717	18899	7423
718	18926	7396
719	18951	7370
720	18982	7345
721	19009	7319
722	19037	7293
723	19063	7267
724	19089	7240
725	19114	7214
726	19139	7187
727	19165	7160
728	19190	7133
729	19214	7106
730	19238	7079
731	19264	7053
732	19288	7026
733	19312	6998
734	19336	6971
735	19360	6944
736	19383	6917
737	19407	6889
738	19430	6862
739	19455	6835
740	19480	6809
741	19506	6782
742	19534	6757
743	19561	6730
744	19587	6704
745	19612	6677
746	19639	6651
747	19666	6625
748	19692	6599
749	19719	6573
750	19746	6546
751	19773	6520
752	19800	6494
753	19826	6468
754	19852	6442
755	19878	6415
756	19912	6391
757	19946	6368
758	19980	6344
759	20014	6320
760	20040	6293
761	20069	6268
762	20096	6242
763	20122	6215
764	20149	6189
765	20175	6163
766	20201	6136
767	20228	6110
768	20256	6084
769	20282	6058
770	20309	6032
771	20336	6006
772	20363	5979
773	20389	5953
774	20416	5927
775	20444	5901
776	20472	5875
777	20500	5849
778	20530	5824
779	20557	5798
780	20585	5772
781	20613	5746
782	20640	5720
783	20666	5693
784	20693	5667
785	20719	5641
786	20746	5615
787	20772	5588
788	20799	5562
789	20825	5535
790	20851	5509
791	20877	5483
792	20904	5456
793	20931	5430
794	20958	5404
795	20983	5377
796	21011	5351
797	21038	5325
798	21065	5299
799	21092	5273
800	21117	5246
801	21145	5220
802	21172	5194
803	21201	5168
804	21228	5142
805	21256	5116
806	21282	5089
807	21308	5063
808	21335	5037
809	21362	5010
810	21389	4984
811	21417	4958
812	21445	4932
813	21471	4906
814	21497	4879
815	21525	4853
816	21553	4827
817	21579	4801
818	21606	4775
819	21633	4748
820	21660	4722
821	21686	4696
822	21714	4670
823	21740	4643
824	21771	4618
825	21802	4592
826	21832	4567
827	21862	4541
828	21891	4515
829	21919	4489
830	21947	4463
831	21975	4437
832	22002	4410
833	22030	4385
834	22057	4358
835	22083	4332
836	22111	4306
837	22136	4279
838	22162	4252
839	22190	4226
840	22217	4200
841	22244	4174
842	22269	4147
843	22296	4121
844	22324	4095
845	22351	4068
846	22379	4042
847	22406	4016
848	22433	3989
849	22461	3963
850	22489	3937
851	22515	3911
852	22540	3884
853	22566	3857
854	22595	3831
855	22622	3805
856	22649	3779
857	22676	3752
858	22703	3726
859	22729	3700
860	22755	3673
861	22783	3647
862	22811	3621
863	22838	3595
864	22869	3569
865	22898	3543
866	22927	3517
867	22954	3490
868	22977	3463
869	23001	3436
870	23023	3409
871	23045	3382
872	23068	3355
873	23090	3328
874	23113	3301
875	23135	3274
876	23159	3248
877	23182	3221
878	23206	3194
879	23229	3167
880	23252	3140
881	23275	3114
882	23300	3087
883	23322	3060
884	23346	3033
885	23369	3006
886	23392	2980
887	23415	2953
888	23437	2926
889	23460	2899
890	23484	2872
891	23506	2846
892	23530	2819
893	23561	2793
894	23590	2767
895	23615	2741
896	23638	2714
897	23661	2687
898	23684	2660
899	23706	2634
900	23728	2607
901	23752	2580
902	23775	2553
903	23799	2527
904	23822	2500
905	23845	2474
906	23868	2447
907	23891	2420
908	23915	2394
909	23937	2367
910	23961	2340
911	23984	2314
912	24008	2287
913	24032	2261
914	24054	2234
915	24077	2207
916	24100	2181
917	24122	2154
918	24144	2128
919	24167	2101
920	24190	2074
921	24213	2048
922	24237	2022
923	24261	1995
924	24284	1968
925	24307	1942
926	24330	1915
927	24355	1889
928	24377	1863
929	24399	1836
930	24424	1810
931	24444	1783
932	24467	1757
933	24489	1730
934	24511	1704
935	24533	1677
936	24557	1651
937	24580	1624
938	24604	1598
939	24628	1572
940	24651	1545
941	24675	1519
942	24697	1492
943	24720	1466
944	24742	1440
945	24764	1413
946	24787	1387
947	24811	1360
948	24835	1334
949	24858	1308
950	24883	1282
951	24906	1255
952	24930	1229
953	24954	1203
954	24979	1177
955	25002	1150
956	25026	1124
957	25050	1098
958	25075	1072
959	25098	1045
960	25123	1019
961	25146	993
962	25169	967
963	25194	940
964	25219	914
965	25242	888
966	25265	862
967	25288	835
968	25311	809
969	25334	783
970	25357	757
971	25380	731
972	25405	704
973	25427	678
974	25450	652
975	25472	626
976	25495	600
977	25517	574
978	25540	547
979	25562	521
980	25585	495
981	25608	469
982	25630	443
983	25654	417
984	25676	391
985	25699	364
986	25722	338
987	25746	312
988	25767	286
989	25788	260
990	25809	234
991	25830	208
992	25851	182
993	25872	156
994	25893	130
995	25917	104
996	25937	78
997	25958	52
998	25980	26
999	26002	0
